id_p,tm,tmw,tml,aces,df,fs,wfs,wss,bps,bpw,fsp,fssp
20104,51,26,25,106,172,62,66,50,59,45,184,173
79067,41,29,12,180,178,60,69,48,59,44,0,0
47259,60,27,33,147,186,60,66,47,56,40,203,183
35986,72,49,23,498,232,62,74,50,61,43,0,0
85851,63,37,26,202,141,55,70,49,60,41,0,0
86348,62,31,31,123,259,63,63,47,55,47,0,0
22761,47,21,26,201,103,62,67,48,57,40,211,190
18669,54,25,29,270,121,60,72,48,65,45,0,0
84377,68,43,25,156,235,60,66,50,61,45,0,0
65129,56,37,19,104,159,61,66,51,61,45,0,0
28904,54,27,27,164,150,63,68,46,56,45,193,176
90203,66,44,22,96,96,64,63,51,57,54,0,0
60139,74,52,22,250,154,58,69,54,55,46,0,0
58606,90,52,38,283,439,60,68,46,53,44,0,0
30801,76,42,34,264,309,61,67,45,55,45,0,0
84561,56,33,23,168,127,62,67,49,58,44,0,0
22323,63,44,19,104,139,66,67,51,55,48,0,0
23147,45,22,23,384,171,60,74,51,65,39,0,0
91448,49,32,17,265,165,58,70,49,62,48,0,0
30954,70,40,30,558,223,61,75,49,65,34,0,0
11521,70,38,32,157,191,59,65,48,56,45,0,0
23298,36,28,8,144,79,59,72,49,59,47,199,181
59169,78,49,29,244,182,65,67,52,56,42,0,0
50000,51,23,28,113,130,62,64,47,54,49,0,0
64479,82,52,30,281,183,67,71,53,62,43,0,0
50133,45,24,21,128,131,60,68,50,57,43,202,177
66254,63,36,27,271,101,60,71,51,58,41,0,0
65903,63,47,16,545,164,63,77,50,67,40,0,0
62258,65,39,26,108,153,59,65,49,56,50,0,0
81995,71,41,30,133,142,68,64,47,57,45,0,0
39310,14,9,5,67,39,60,71,51,65,40,0,0
93753,61,46,15,364,233,61,73,49,60,44,0,0
87277,70,40,30,168,237,61,66,48,55,47,0,0
30856,51,28,23,124,126,63,65,50,56,47,191,174
22069,43,24,19,236,157,58,72,48,59,46,0,0
50504,71,44,27,117,104,65,65,51,59,48,0,0
93550,36,20,16,162,72,62,69,52,60,38,0,0
23099,56,32,24,20,83,75,62,46,56,50,0,0
12043,41,11,30,274,239,51,73,43,57,35,202,185
55656,57,35,22,394,224,61,73,49,59,37,0,0
71419,74,44,30,37,157,71,59,47,55,49,0,0
28685,80,47,33,387,245,57,70,50,63,39,0,0
56577,50,26,24,464,154,60,74,51,59,34,0,0
85308,63,40,23,604,263,62,75,51,63,40,0,0
71188,50,31,19,137,116,65,66,52,61,44,0,0
56205,60,37,23,173,107,61,67,51,56,43,0,0
17972,59,28,31,101,179,68,62,47,60,45,193,182
80500,83,52,31,520,313,60,74,50,63,37,0,0
24841,77,44,33,56,189,64,64,50,54,44,0,0
87865,65,39,26,179,157,62,67,49,58,45,0,0
41083,72,42,30,82,217,65,62,49,57,45,0,0
22428,66,41,25,245,150,69,67,47,62,43,0,0
8721,49,36,13,135,142,57,67,51,62,45,0,0
55634,81,50,31,426,224,61,72,48,60,45,0,0
17928,46,23,23,212,126,56,72,50,60,40,0,0
35225,63,28,35,163,176,58,67,50,60,41,0,0
73268,71,37,34,225,133,60,64,49,58,47,0,0
47324,39,23,16,98,76,61,65,49,56,45,0,0
73608,60,34,26,149,127,63,66,51,58,46,0,0
54380,69,44,25,142,113,62,63,53,59,49,0,0
86351,74,48,26,393,286,62,71,49,60,43,0,0
26942,69,39,30,274,104,60,68,49,60,41,0,0
86545,73,46,27,135,371,59,67,47,56,47,0,0
29459,52,28,24,125,95,60,67,52,56,48,188,170
81784,64,44,20,202,116,62,66,48,58,45,0,0
61966,69,44,25,119,165,63,64,49,60,46,0,0
68981,73,44,29,59,363,68,61,44,53,49,0,0
21548,54,32,22,151,143,63,67,46,58,45,201,167
26706,65,44,21,345,194,59,73,48,62,47,0,0
96517,69,46,23,94,217,63,64,48,54,46,0,0
62990,64,33,31,521,134,59,73,48,55,40,0,0
27111,53,30,23,240,126,61,73,54,58,43,0,0
