id_p,tm,tmw,tml,aces,df,fs,wfs,wss,bps,bpw,fsp,fssp
59927,24,8,16,51,83,52,59,41,47,48,0,0
59928,17,8,9,26,47,66,57,40,49,52,0,0
59943,7,2,5,5,19,62,53,39,54,48,0,0
60111,1,0,1,0,2,70,50,35,44,33,0,0
60114,28,9,19,10,51,73,54,43,44,42,0,0
60256,36,14,22,29,112,58,55,42,50,42,0,0
60261,8,3,5,5,28,71,60,37,50,44,0,0
60345,35,15,20,5,119,69,52,37,47,47,0,0
60354,6,0,6,0,29,60,44,34,36,48,0,0
60356,41,14,27,35,145,72,54,41,46,46,0,0
60360,23,10,13,22,84,59,57,41,52,46,0,0
60361,11,7,4,18,49,56,60,46,46,49,0,0
60362,5,1,4,7,13,62,56,45,52,39,0,0
60396,14,6,8,5,25,70,51,51,43,48,0,0
60397,28,11,17,20,116,65,54,42,46,44,0,0
60572,8,5,3,7,16,72,61,39,55,51,0,0
60581,7,1,6,5,32,55,59,32,50,62,0,0
60605,8,5,3,5,42,67,60,41,56,47,0,0
60762,1,0,1,0,5,40,25,11,0,0,0,0
60926,14,2,12,37,83,57,61,31,47,40,0,0
60927,10,5,5,11,50,61,59,44,47,45,0,0
60939,10,7,3,3,13,76,58,44,41,44,0,0
61040,3,0,3,0,13,66,45,29,47,29,0,0
61047,4,1,3,1,23,70,54,36,42,51,0,0
61173,10,4,6,7,38,58,60,41,50,46,0,0
61192,1,0,1,0,4,62,59,44,60,22,0,0
61284,3,0,3,3,24,54,55,31,51,42,0,0
61287,1,0,1,1,4,55,45,31,66,0,0,0
61294,1,0,1,0,9,60,60,34,44,37,0,0
61464,2,0,2,1,10,52,45,36,45,36,0,0
61475,6,2,4,3,52,52,62,26,38,48,0,0
61476,9,0,9,5,50,62,50,33,46,48,0,0
61477,8,2,6,3,40,65,48,34,45,40,0,0
61478,2,0,2,0,3,73,45,50,35,25,0,0
61483,2,1,1,1,2,69,64,48,60,36,0,0
61484,6,2,4,3,15,65,53,38,49,50,0,0
61486,3,1,2,2,1,82,56,47,69,47,0,0
61488,1,0,1,1,3,72,31,18,41,100,0,0
61582,13,2,11,16,92,64,51,36,50,43,0,0
61588,2,0,2,2,6,67,51,52,40,35,0,0
61686,11,6,5,4,35,73,57,44,46,46,0,0
61855,5,2,3,3,19,63,52,42,50,46,0,0
61982,1,0,1,0,2,53,47,22,25,50,0,0
61987,23,12,11,15,50,69,54,48,49,45,0,0
61995,19,7,12,27,57,71,59,43,54,41,0,0
62160,1,0,1,3,0,66,69,60,50,0,0,0
62166,4,3,1,0,4,78,64,51,73,51,0,0
62184,3,1,2,1,16,57,61,38,52,66,0,0
62195,7,5,2,4,27,68,59,44,56,43,0,0
62198,5,1,4,2,25,65,47,40,42,45,0,0
62337,11,4,7,0,28,70,51,36,48,50,0,0
62339,33,12,21,21,85,70,54,42,49,54,0,0
62351,24,10,14,28,164,61,56,38,46,48,0,0
62479,2,0,2,1,11,53,34,19,8,100,0,0
62483,3,0,3,1,5,70,46,39,33,63,0,0
62600,5,2,3,1,21,71,61,35,51,43,0,0
62608,15,4,11,9,46,66,52,40,37,41,0,0
62712,1,0,1,0,9,40,23,28,41,100,0,0
62717,37,14,23,28,199,63,57,42,47,44,0,0
62730,25,10,15,15,160,56,58,43,53,46,0,0
62735,20,7,13,17,57,67,55,42,52,53,0,0
62736,13,2,11,1,94,64,49,33,46,30,0,0
62737,12,5,7,5,34,68,54,39,54,50,0,0
63040,9,1,8,3,27,57,49,34,43,41,0,0
63192,3,0,3,3,8,52,47,30,22,60,0,0
63280,2,0,2,2,12,45,40,33,40,20,0,0
63285,3,1,2,0,25,61,45,26,20,45,0,0
63541,15,5,10,14,102,65,62,36,53,46,0,0
