ID_P,TURNED_PRO,WEIGHT,HEIGHT,BIRTHPLACE,RESIDENCE,PLAYS,COACH,SITE,PAGE,TWITTER,FACEBOOK,INSTAGRAM,LAST_REVISED
118,"Pro(1992)",57,173,"Imotski, Croatia","Makarska, Croatia","Right-handed (two-handed backhand)",,,"http://www.wtatennis.com/player-profile/200160",,,,"01.01.2023"
119,"Pro(January1992)",60,169,"Madrid, Spain","Madrid, Spain","Right-handed (one-handed backhand)",,,"http://www.wtatennis.com/player-profile/180160","https://twitter.com/viviruano","https://www.facebook.com/VirginiaRuanoPascual/","https://www.instagram.com/viviru73/","01.01.2023"
120,,,,,,,,,"http://www.wtatennis.com/players/220010/noelle-van-lottum",,,,"01.01.2023"
121,"Pro(July1995)/Retired(April2008)",59,168,"San Juan, Puerto Rico","Tampa, Florida, USA","Right-handed (two-handed backhand)",,,"http://www.wtatennis.com/player-profile/20323",,,,"01.01.2023"
122,,,,,,,,,"http://www.wtatennis.com/player-profile/20309",,,,"01.01.2023"
123,,,,,,,,,"http://www.wtatennis.com/player-profile/180001",,,,"01.01.2023"
124,"Pro(Jan.1,1994)",60,177,"Nove Zamky, Slovakia","Nove Zamky, Slovakia","Right-handed (two-handed backhand)",,,"http://www.wtatennis.com/player-profile/140145",,,,"01.01.2023"
125,"Pro(1994)",59,171,"Geneva, Switzerland","Monte Carlo, Monaco","Right-handed (two-handed backhand)",,,"http://www.wtatennis.com/player-profile/70245",,,,"01.01.2023"
126,,,,,,,,,"http://www.wtatennis.com/player-profile/260012",,,,"01.01.2023"
127,"Pro(Oct.1993)",61,177,"Prague, Czech Republic","Prague, Czech Republic","Right-handed (two-handed backhand)",,,"http://www.wtatennis.com/player-profile/110310",,,,"01.01.2023"
128,,,,,,,,,"http://www.wtatennis.com/player-profile/230054",,,,"01.01.2023"
129,,,,,,,,,"http://www.wtatennis.com/player-profile/100085",,,,"01.01.2023"
130,"Retired(1999)",,165,"Chicago, IL, USA","Bradenton, FL, USA / White Plans, NY, USA","Right-handed (two-handed backhand)",,,"http://www.wtatennis.com/player-profile/10004",,,,"01.01.2023"
131,,,,,,,,,"http://www.wtatennis.com/player-profile/60040",,,,"01.01.2023"
132,"Pro(1997)",52,174,"Prague, Czech Republic","Prague, Czech Republic","Right-handed",,,"http://www.wtatennis.com/player-profile/30382",,,,"01.01.2023"
133,"Pro(1992)",50,163,"Osimo Scalo, Italy","Osimo Scalo, Italy","Right-handed (two-handed backhand)",,,"http://www.wtatennis.com/player-profile/160159",,,,"01.01.2023"
134,"Pro(1993)",58,166,"Den Haag, Netherlands","Den Haag, Netherlands","Right-handed (two-handed forehand and backhand)",,,"http://www.wtatennis.com/player-profile/40152",,,,"01.01.2023"
135,,,,,,,,,"http://www.wtatennis.com/player-profile/220159",,,,"01.01.2023"
136,"ProFeb.26,1987/Retired1999",63,175,"Brno, Czech Republic","Brno, Czech Republic","Right-handed",,,"http://www.wtatennis.com/player-profile/140029",,,,"01.01.2023"
137,"Pro(April1989)",59,168,"Sofia, Bulgaria","Sofia, Bulgaria","Right-handed (two-handed backhand)",,,"http://www.wtatennis.com/player-profile/130245","https://twitter.com/magmaleeva","https://www.facebook.com/magdalena.maleeva/","https://www.instagram.com/magmaleeva/","01.01.2023"
138,"Pro",63,165,"Bangui, Central African Republic","Anglet, France","Right-handed",,,"http://www.wtatennis.com/player-profile/200011",,,,"01.01.2023"
139,"Pro(1993)",69,175,"St. Germains en Laye, France","Geneva, Switzerland","Right-handed (one-handed backhand)",,"http://www.ameliemauresmo.fr","http://www.wtatennis.com/player-profile/130450","https://twitter.com/amemauresmo","https://www.facebook.com/ameliemauresmo/","https://www.instagram.com/amemauresmo79/","01.01.2023"
140,"Pro(Aug.1993)",58,168,"Darmstadt, Hessen, Germany","Darmstadt, Hessen, Germany","Right-handed (two-handed backhand)",,,"http://www.wtatennis.com/player-profile/70198",,,,"01.01.2023"
141,,,,,,,,,"http://www.wtatennis.com/player-profile/190339",,,,"01.01.2023"
142,,,,,,,,,"http://www.wtatennis.com/player-profile/190104",,,,"01.01.2023"
143,,,,,,,,,"http://www.wtatennis.com/player-profile/190067",,,,"01.01.2023"
144,"Pro(February25,1994)",59,168,"Caracas, Venezuela","Caracas, Venezuela and Miami, Florida, USA","Right-handed (two-handed backhand)",,,"http://www.wtatennis.com/player-profile/220070",,,,"01.01.2023"
145,"ProMarch2,1979/Retired1997",72,183,"Baltimore, Maryland, USA","Baltimore, Maryland, USA","Right-handed",,,"http://www.wtatennis.com/player-profile/190061",,,,"01.01.2023"
146,,,,,,,,,"http://www.wtatennis.com/player-profile/20110",,,,"01.01.2023"
147,"Pro(1990)/Retired(2000)",,,"El Centro, CA, USA",,"Right-handed (two-handed backhand)",,,"http://www.wtatennis.com/player-profile/70103",,,,"01.01.2023"
148,,,,,,,,,"http://www.wtatennis.com/player-profile/200236",,,,"01.01.2023"
149,"Pro",56,172,"Minsk, Belarus","London, England and Minsk, Belarus","Right-handed",,,"http://www.wtatennis.com/player-profile/20442",,,,"01.01.2023"
150,"Pro(June1999)",71,185,"La Jolla, CA, USA","San Diego, CA, USA","Right-handed (one-handed backhand)",,,"http://www.wtatennis.com/player-profile/190125",,"https://www.facebook.com/Alexandra-Stevenson-369764889747375/",,"01.01.2023"
151,"Pro(October31,1994)",72,185,"Lynwood, CA, USA","Palm Beach Gardens, FL, USA","Right-handed (two-handed backhand)","Eric Hechtman","http://www.venuswilliams.com","http://www.wtatennis.com/player-profile/230220","https://twitter.com/venuseswilliams","https://www.facebook.com/VenusWilliams/","https://www.instagram.com/venuswilliams/","01.01.2023"
152,"Pro",68,175,"Los Angeles, California, USA","Chico, California, USA","Right-handed (two-handed backhand)",,,"http://www.wtatennis.com/player-profile/180310",,,,"01.01.2023"
153,,,,,,,,,"http://www.wtatennis.com/player-profile/40020",,,,"01.01.2023"
154,"Pro(April1996)",61,180,"Richmond, VA, USA","Scottsdale, AZ, USA","Right-handed (two-handed backhand)",,,"http://www.wtatennis.com/player-profile/190565",,,,"01.01.2023"
155,"Pro(1989)/Retired(2007)",61,178,"Novi Sad, Yugoslavia","Sarasota, Florida","Left-handed (two-handed forehand and backhand)",,,"http://www.wtatennis.com/player-profile/190141","https://twitter.com/monicaseles10s","https://www.facebook.com/monica.seles.3323/",,"01.01.2023"
156,"Pro(January1994)",52,154,"Moscow, Russia","Moscow, Russia","Right-handed (two-handed backhand)",,,"http://www.wtatennis.com/player-profile/160254",,,,"01.01.2023"
157,,,,,,,,,"http://www.wtatennis.com/player-profile/190140",,,,"01.01.2023"
158,"Pro(1993)",55,170,"Brno, Czech Republic","Brno, Czech Republic","Right-handed (two-handed backhand)",,,"http://www.wtatennis.com/player-profile/130313",,,,"01.01.2023"
159,"Pro(1996)",60,173,"Bloemfontein, South Africa","Johannesburg, South Africa/Atlanta, Georgia,","Right-handed (two-handed backhand)",,,"http://www.wtatennis.com/player-profile/190510",,,,"01.01.2023"
160,"Pro(September1992)",64,172,"Buenos Aires, Argentina","Buenos Aires, Argentina","Right-handed (two-handed backhand)",,,"http://www.wtatennis.com/player-profile/40198",,,,"01.01.2023"
161,"Pro(Jan.5,1995)",60,175,"Lafayette, Indiana, USA","Rancho Palos Verdes, California, USA","Right-handed (two-handed backhand)",,,"http://www.wtatennis.com/player-profile/120235",,,,"01.01.2023"
162,,,,,,,,,"http://www.wtatennis.com/players/130146/misumi-miyauchi",,,,"01.01.2023"
163,,,,,,,,,"http://www.wtatennis.com/players/80052/yuko-hosoki",,,,"01.01.2023"
164,"Pro(June1995)",59,165,"El Paso, Texas, USA","Meridian, Idaho, USA","Right-handed",,,"http://www.wtatennis.com/player-profile/30304",,,,"01.01.2023"
165,"Pro(June1996)",62,173,"Myungju, Korea","Seoul, Korea","Right-handed (two-handed backhand)",,,"http://www.wtatennis.com/players/110357/eun-ha-kim",,,,"01.01.2023"
166,"Pro",53,168,"Tokyo, Japan","Okinawa, Japan","Right-handed",,,"http://www.wtatennis.com/player-profile/90066",,,,"01.01.2023"
167,"Pro(May12,1993)",66,170,"Dushanbe, Tadijkistan","Kiev, Ukraine","Left-handed (two-handed backhand)",,,"http://www.wtatennis.com/player-profile/200192",,,,"01.01.2023"
168,,,,,,,,,"http://www.wtatennis.com/player-profile/220170",,,,"01.01.2023"
