match_id,match_timestamp,p1_name,p2_name,p1_avg_1st_sv_speed,p2_avg_1st_sv_speed,p1_avg_2nd_sv_speed,p2_avg_2nd_sv_speed,p1_winners,p2_winners,p1_unforced_errors,p2_unforced_errors,p1_net_points_won,p2_net_points_won,p1_net_points_played,p2_net_points_played,data_added_timestamp
Cjf8cyu1,1755825600,Merida Aguilar D.,Droguet T.,,,,,,,,,,,,,1756078978.964187
l2Qe0iV7,1755825000,Mochizuki S.,Burruchaga R. A.,,,,,,,,,,,,,1756078974.744274
2eNIfLqf,1755824100,Jacquet K.,Kubler J.,,,,,,,,,,,,,1756078971.358204
4OXhp2TI,1755823200,Sun F.,Harris L.,,,,,,,,,,,,,1756078967.676966
jLkjXTcm,1755822300,Harris B.,Kukushkin M.,,,,,,,,,,,,,1756078963.997357
pKI9NAJc,1755821100,Zhukayev B.,Svajda Z.,,,,,,,,,,,,,1756078960.244767
M3OckLzR,1755821100,Tomic B.,Rocha H.,,,,,,,,,,,,,1756078956.294589
tCmBBDyR,1755819300,De Jong J.,Mayot H.,,,,,,,,,,,,,1756078952.852916
23wn3SsC,1755819000,Piros Z.,Tirante T. A.,,,,,,,,,,,,,1756078949.463126
4p1C1lt3,1755819000,Basilashvili N.,Huesler M.,,,,,,,,,,,,,1756078945.800369
ltXGrS35,1755818100,Krueger M.,Collarini A.,,,,,,,,,,,,,1756078942.078637
CS1FvLZr,1755818100,Duckworth J.,McCabe J.,,,,,,,,,,,,,1756078938.615413
KlH64Am3,1755817500,Gigante M.,Wong C.,,,,,,,,,,,,,1756078935.102968
hxj8AeS6,1755816000,Daniel T.,Struff J-L.,,,,,,,,,,,,,1756078931.631412
CbnyWsYR,1755815700,Cazaux A.,Clarke J.,,,,,,,,,,,,,1756078927.947845
EibWzwZ7,1755815700,Cassone M.,Prizmic D.,,,,,,,,,,,,,1756078924.249287
fqT2t2Bs,1755814200,Garin C.,Trungelliti M.,,,,,,,,,,,,,1756078920.646667
Kda2DZ6E,1755813600,Grenier H.,Landaluce M.,,,,,,,,,,,,,1756078917.286644
nDSk4VT0,1755812700,Gomez F. A.,Cina F.,,,,,,,,,,,,,1756078913.601309
GGSJ7z0C,1755812400,Martin A.,Llamas Ruiz P.,,,,,,,,,,,,,1756078909.913071
jaAdrKim,1755807000,Sakamoto R.,Buse I.,,,,,,,,,,,,,1756078906.019793
v3VuPNf2,1755806700,Virtanen O.,Riedi L.,,,,,,,,,,,,,1756078899.056454
fgAhe6FU,1755806700,Damm M.,Hassan B.,,,,,,,,,,,,,1756078895.41136
